NOC,Year,Total Participants,Medal Winners,Medal Efficiency
AFG,1936,16,0.0,0.0
AFG,1948,25,0.0,0.0
AFG,1956,12,0.0,0.0
AFG,1960,16,0.0,0.0
AFG,1964,8,0.0,0.0
AFG,1968,5,0.0,0.0
AFG,1972,8,0.0,0.0
AFG,1980,11,0.0,0.0
AFG,1988,5,0.0,0.0
AFG,1996,2,0.0,0.0
AFG,2004,5,0.0,0.0
AFG,2008,4,1.0,0.25
AFG,2012,6,1.0,0.16666666666666666
AFG,2016,3,0.0,0.0
AFG,2020,5,0.0,0.0
AFG,2024,6,0.0,0.0
AHO,1952,11,0.0,0.0
AHO,1960,5,0.0,0.0
AHO,1964,4,0.0,0.0
AHO,1968,5,0.0,0.0
AHO,1972,2,0.0,0.0
AHO,1976,4,0.0,0.0
AHO,1984,13,0.0,0.0
AHO,1988,4,1.0,0.25
AHO,1992,4,0.0,0.0
AHO,1996,7,0.0,0.0
AHO,2000,8,0.0,0.0
AHO,2004,3,0.0,0.0
AHO,2008,4,0.0,0.0
AIN,2024,32,6.0,0.1875
ALB,1972,5,0.0,0.0
ALB,1992,9,0.0,0.0
ALB,1996,9,0.0,0.0
ALB,2000,5,0.0,0.0
ALB,2004,7,0.0,0.0
ALB,2008,12,0.0,0.0
ALB,2012,10,0.0,0.0
ALB,2016,6,0.0,0.0
ALB,2020,10,0.0,0.0
ALB,2024,8,2.0,0.25
ALG,1964,7,0.0,0.0
ALG,1968,9,0.0,0.0
ALG,1972,7,0.0,0.0
ALG,1980,63,0.0,0.0
ALG,1984,33,2.0,0.06060606060606061
ALG,1988,45,0.0,0.0
ALG,1992,36,2.0,0.05555555555555555
ALG,1996,47,3.0,0.06382978723404255
ALG,2000,51,5.0,0.09803921568627451
ALG,2004,71,0.0,0.0
ALG,2008,57,2.0,0.03508771929824561
ALG,2012,39,1.0,0.02564102564102564
ALG,2016,74,2.0,0.02702702702702703
ALG,2020,45,0.0,0.0
ALG,2024,46,3.0,0.06521739130434782
AND,1976,3,0.0,0.0
AND,1980,2,0.0,0.0
AND,1984,2,0.0,0.0
AND,1988,4,0.0,0.0
AND,1992,8,0.0,0.0
AND,1996,8,0.0,0.0
AND,2000,5,0.0,0.0
AND,2004,6,0.0,0.0
AND,2008,5,0.0,0.0
AND,2012,6,0.0,0.0
AND,2016,4,0.0,0.0
AND,2020,3,0.0,0.0
AND,2024,2,0.0,0.0
ANG,1980,17,0.0,0.0
ANG,1988,33,0.0,0.0
ANG,1992,33,0.0,0.0
ANG,1996,30,0.0,0.0
ANG,2000,30,0.0,0.0
ANG,2004,30,0.0,0.0
ANG,2008,33,0.0,0.0
ANG,2012,35,0.0,0.0
ANG,2016,26,0.0,0.0
ANG,2020,20,0.0,0.0
ANG,2024,25,0.0,0.0
ANT,1976,17,0.0,0.0
ANT,1984,27,0.0,0.0
ANT,1988,25,0.0,0.0
ANT,1992,18,0.0,0.0
ANT,1996,19,0.0,0.0
ANT,2000,4,0.0,0.0
ANT,2004,5,0.0,0.0
ANT,2008,5,0.0,0.0
ANT,2012,4,0.0,0.0
ANT,2016,9,0.0,0.0
ANT,2020,6,0.0,0.0
ANT,2024,5,0.0,0.0
ANZ,1908,48,19.0,0.3958333333333333
ANZ,1912,38,10.0,0.2631578947368421
ARG,1900,1,0.0,0.0
ARG,1908,1,0.0,0.0
ARG,1920,1,0.0,0.0
ARG,1924,109,10.0,0.09174311926605505
ARG,1928,98,26.0,0.2653061224489796
ARG,1932,47,4.0,0.0851063829787234
ARG,1936,68,11.0,0.16176470588235295
ARG,1948,295,11.0,0.03728813559322034
ARG,1952,174,6.0,0.034482758620689655
ARG,1956,44,2.0,0.045454545454545456
ARG,1960,116,4.0,0.034482758620689655
ARG,1964,148,1.0,0.006756756756756757
ARG,1968,132,2.0,0.015151515151515152
ARG,1972,123,1.0,0.008130081300813009
ARG,1976,106,0.0,0.0
ARG,1984,115,0.0,0.0
ARG,1988,134,13.0,0.09701492537313433
ARG,1992,111,2.0,0.018018018018018018
ARG,1996,221,20.0,0.09049773755656108
ARG,2000,165,20.0,0.12121212121212122
ARG,2004,179,49.0,0.2737430167597765
ARG,2008,145,51.0,0.35172413793103446
ARG,2012,148,19.0,0.12837837837837837
ARG,2016,232,22.0,0.09482758620689655
ARG,2020,208,43.0,0.20673076923076922
ARG,2024,143,19.0,0.13286713286713286
ARM,1996,38,2.0,0.05263157894736842
ARM,2000,26,1.0,0.038461538461538464
ARM,2004,19,0.0,0.0
ARM,2008,26,6.0,0.23076923076923078
ARM,2012,31,3.0,0.0967741935483871
ARM,2016,34,4.0,0.11764705882352941
ARM,2020,19,4.0,0.21052631578947367
ARM,2024,15,4.0,0.26666666666666666
ARU,1988,12,0.0,0.0
ARU,1992,5,0.0,0.0
ARU,1996,3,0.0,0.0
ARU,2000,5,0.0,0.0
ARU,2004,4,0.0,0.0
ARU,2008,2,0.0,0.0
ARU,2012,4,0.0,0.0
ARU,2016,7,0.0,0.0
ARU,2020,4,0.0,0.0
ARU,2024,6,0.0,0.0
ASA,1988,6,0.0,0.0
ASA,1992,3,0.0,0.0
ASA,1996,7,0.0,0.0
ASA,2000,4,0.0,0.0
ASA,2004,3,0.0,0.0
ASA,2008,4,0.0,0.0
ASA,2012,4,0.0,0.0
ASA,2016,4,0.0,0.0
ASA,2020,6,0.0,0.0
ASA,2024,2,0.0,0.0
AUS,1896,5,3.0,0.6
AUS,1900,6,6.0,1.0
AUS,1904,6,4.0,0.6666666666666666
AUS,1906,10,3.0,0.3
AUS,1920,29,7.0,0.2413793103448276
AUS,1924,60,10.0,0.16666666666666666
AUS,1928,29,4.0,0.13793103448275862
AUS,1932,20,5.0,0.25
AUS,1936,39,1.0,0.02564102564102564
AUS,1948,103,16.0,0.1553398058252427
AUS,1952,140,20.0,0.14285714285714285
AUS,1956,412,67.0,0.16262135922330098
AUS,1960,280,46.0,0.16428571428571428
